Name,Nation,Team,Position,Age,Playing Time: matches played,Playing Time: starts,Playing Time: minutes,Performance: goals,Performance: assists,Performance: yellow cards,Performance: red cards,Expected: expected goals (xG),Expected: expedted Assist Goals (xAG),Progression: PrgC,Progression: PrgP,Progression: PrgR,Per 90 minutes: Gls,Per 90 minutes: Ast,Per 90 minutes: xG,Per 90 minutes: xGA,Performance: goals against per 90mins (GA90),Performance: Save%,Performance: CS%,Penalty Kicks: penalty kicks Save%,Standard: shoots on target percentage (SoT%),Standard: Shoot on Target per 90min (SoT/90),Standard: goals/shot (G/sh),Standard: average shoot distance (Dist),Total: passes completed (Cmp),Total: Pass completion (Cmp%),Total: progressive passing distance (TotDist),Short: Pass completion (Cmp%),Medium: Pass completion (Cmp%),Long: Pass completion (Cmp%),Expected: key passes (KP),Expected: pass into final third (1/3),Expected: pass into penalty area (PPA),Expected: CrsPA,Expected: PrgP,SCA: SCA,SCA: SCA90,GCA: GCA,GCA: GCA90,Tackles: Tkl,Tackles: TklW,Challenges: Att,Challenges: Lost,Blocks: Blocks,Blocks: Sh,Blocks: Pass,Blocks: Int,Touches: Touches,Touches: Def Pen,Touches: Def 3rd,Touches: Mid 3rd,Touches: Att 3rd,Touches: Att Pen,Take-Ons: Att,Take-Ons: Succ%,Take-Ons: Tkld%,Carries: Carries,Carries: ProDist,Carries: ProgC,Carries: 1/3,Carries: CPA,Carries: Mis,Carries: Dis,Receiving: Rec,Receiving: PrgR,Performance: Fls,Performance: Fld,Performance: Off,Performance: Crs,Performance: Recov,Aerial Duels: Won,Aerial Duels: Lost,Aerial Duels: Won%,Cluster
Matz Sels,be BEL,Nott'ham Forest,GK,33-073,35,35,3150,0,0,4,0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,1.2,74.3,37.1,0.0,,0.0,,,472,51.1,15420,100.0,98.0,36.9,1,42,3,0,1,5,0.14,0,0.0,1,1,1,0,0,0,0,0,1018,777,1002,16,0,0,0,,,489,1500,0,1,1,0,0,392,0,1,10,0,0,11,14,2,87.5,0
Michael Keane,eng ENG,Everton,DF,32-119,11,9,852,2,0,5,0,0.4,0.1,1,12,3,0.21,0.0,0.05,0.01,,,,,37.5,0.32,0.25,14.8,258,81.6,1868,88.5,90.3,75.3,2,17,0,0,12,6,0.63,0,0.0,10,7,13,6,11,7,4,10,426,85,241,169,18,14,1,0.0,100.0,189,236,1,1,0,1,2,240,3,9,0,0,1,24,20,14,58.8,0
Micky van de Ven,nl NED,Tottenham,DF,24-021,12,11,950,0,2,4,0,0.6,1.2,8,51,1,0.0,0.19,0.05,0.11,,,,,33.3,0.19,0.0,11.1,706,91.0,4092,91.7,96.5,62.5,2,50,1,0,51,11,1.04,2,0.19,10,6,14,6,9,6,3,10,862,101,442,393,36,9,8,50.0,50.0,599,1388,8,10,1,5,4,629,1,10,8,0,0,61,19,18,51.4,0
Morato,br BRA,Nott'ham Forest,DF,23-314,24,5,809,0,0,3,0,0.2,0.0,0,14,1,0.0,0.0,0.02,0.0,,,,,50.0,0.11,0.0,8.6,184,74.2,1525,83.9,82.9,37.9,0,11,0,0,14,3,0.33,0,0.0,21,13,20,7,12,4,8,10,387,83,239,131,19,2,1,100.0,0.0,125,274,0,2,0,6,3,161,1,10,2,0,0,31,5,13,27.8,0
Myles Lewis-Skelly,eng ENG,Arsenal,DF,18-226,20,13,1168,1,0,2,2,0.1,0.4,32,62,33,0.08,0.0,0.01,0.03,,,,,50.0,0.08,0.5,14.3,604,90.7,1983,95.8,90.3,65.0,7,55,8,1,62,24,1.85,0,0.0,22,14,10,0,2,1,1,6,775,20,138,426,225,14,26,46.2,34.6,443,1473,32,23,5,11,8,529,33,10,38,0,8,45,8,10,44.4,0
Nathan Aké,nl NED,Manchester City,DF,30-081,10,8,678,0,0,0,0,0.2,0.0,12,50,2,0.0,0.0,0.03,0.0,,,,,0.0,0.0,0.0,10.0,509,93.9,2950,98.0,97.1,58.8,1,42,1,0,50,8,1.06,0,0.0,9,7,6,2,7,2,5,3,596,51,205,331,61,5,1,100.0,0.0,403,1501,12,12,1,4,3,449,2,2,0,0,1,24,13,10,56.5,0
Nathan Patterson,sct SCO,Everton,DF,23-206,10,3,347,0,1,1,0,0.1,0.4,6,13,18,0.0,0.26,0.02,0.11,,,,,0.0,0.0,0.0,16.8,130,73.9,806,90.3,69.3,50.0,4,9,5,3,13,11,2.85,1,0.26,11,6,14,7,2,0,2,2,215,11,52,90,75,5,12,75.0,16.7,95,216,6,5,2,4,2,117,18,6,1,0,14,12,1,7,12.5,0
Nathan Wood-Gordon,eng ENG,Southampton,DF,22-344,9,7,624,0,0,2,0,0.2,0.0,2,17,0,0.0,0.0,0.03,0.0,,,,,0.0,0.0,0.0,5.9,363,92.8,1494,94.4,96.4,69.6,1,11,0,0,17,3,0.43,0,0.0,10,7,8,3,8,5,3,4,457,54,219,212,27,2,5,60.0,20.0,253,454,2,6,0,4,1,339,0,8,4,0,3,20,11,7,61.1,0
Nathaniel Clyne,eng ENG,Crystal Palace,"DF,MF",34-035,13,5,483,0,0,1,0,0.0,0.3,6,7,8,0.0,0.0,0.0,0.06,,,,,0.0,0.0,0.0,31.4,171,76.0,1102,80.9,88.4,46.7,3,16,2,1,7,3,0.56,0,0.0,12,8,11,5,4,2,2,3,273,18,111,125,37,3,1,0.0,100.0,158,314,6,2,3,5,2,178,8,2,2,0,7,10,1,7,12.5,0
Neto,br BRA,Bournemouth,GK,35-295,2,2,180,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,1.0,84.6,0.0,,,0.0,,,40,64.5,896,100.0,100.0,36.4,0,2,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,70,60,70,0,0,0,0,,,35,99,0,0,0,0,0,28,0,0,2,0,0,3,0,0,,0
